il,ilce,koltuk_tipi,koltuk_sayisi,leke_durumu,fiyat
Ankara,Mamak,Üçlü,5,"Evet, zor lekeler var",1135 TL
Antalya,Muratpaşa,L Köşe,2,"Evet, zor lekeler var",917 TL
İzmir,Karşıyaka,Tekli,1,"Evet, zor lekeler var",2144 TL
Ankara,Etimesgut,L Köşe,4,"Hayır, genel temizlik yeterli",2262 TL
Antalya,Kepez,Üçlü,1,"Evet, zor lekeler var",1826 TL
Bursa,Nilüfer,Üçlü,1,"Hayır, genel temizlik yeterli",783 TL
İzmir,Karşıyaka,L Köşe,2,"Evet, zor lekeler var",815 TL
Bursa,Osmangazi,L Köşe,2,"Hayır, genel temizlik yeterli",1994 TL
İstanbul,Beşiktaş,U Köşe,3,"Evet, zor lekeler var",1893 TL
İstanbul,Beşiktaş,İkili,1,"Evet, zor lekeler var",2271 TL
Ankara,Etimesgut,L Köşe,1,"Hayır, genel temizlik yeterli",741 TL
Bursa,Osmangazi,L Köşe,2,"Evet, zor lekeler var",2439 TL
Bursa,Nilüfer,İkili,1,"Evet, zor lekeler var",1399 TL
Antalya,Kepez,Tekli,2,"Hayır, genel temizlik yeterli",739 TL
Bursa,Osmangazi,Üçlü,6,"Hayır, genel temizlik yeterli",598 TL
İzmir,Karşıyaka,Üçlü,3,"Hayır, genel temizlik yeterli",974 TL
Ankara,Çankaya,U Köşe,2,"Evet, zor lekeler var",1256 TL
İzmir,Buca,L Köşe,6,"Evet, zor lekeler var",1139 TL
Bursa,Yıldırım,İkili,1,"Evet, zor lekeler var",700 TL
Bursa,Yıldırım,Üçlü,6,"Evet, zor lekeler var",1313 TL
Ankara,Keçiören,İkili,6,"Evet, zor lekeler var",1775 TL
Antalya,Kepez,İkili,5,"Evet, zor lekeler var",1769 TL
İstanbul,Üsküdar,Tekli,3,"Hayır, genel temizlik yeterli",1383 TL
İstanbul,Üsküdar,L Köşe,4,"Hayır, genel temizlik yeterli",2478 TL
İzmir,Konak,L Köşe,2,"Hayır, genel temizlik yeterli",1756 TL
Ankara,Çankaya,U Köşe,5,"Evet, zor lekeler var",683 TL
Antalya,Alanya,L Köşe,4,"Hayır, genel temizlik yeterli",1013 TL
İstanbul,Üsküdar,L Köşe,1,"Hayır, genel temizlik yeterli",735 TL
Bursa,Yıldırım,Üçlü,3,"Hayır, genel temizlik yeterli",1747 TL
Antalya,Kepez,İkili,6,"Hayır, genel temizlik yeterli",845 TL
Antalya,Muratpaşa,L Köşe,5,"Evet, zor lekeler var",2406 TL
İstanbul,Bakırköy,Tekli,6,"Evet, zor lekeler var",847 TL
Ankara,Mamak,L Köşe,1,"Evet, zor lekeler var",1119 TL
Ankara,Mamak,Üçlü,2,"Hayır, genel temizlik yeterli",2116 TL
Antalya,Alanya,U Köşe,5,"Evet, zor lekeler var",1919 TL
İstanbul,Bakırköy,L Köşe,4,"Hayır, genel temizlik yeterli",1643 TL
İstanbul,Beşiktaş,İkili,4,"Hayır, genel temizlik yeterli",2432 TL
Ankara,Keçiören,Tekli,4,"Hayır, genel temizlik yeterli",362 TL
İzmir,Buca,İkili,2,"Evet, zor lekeler var",425 TL
Bursa,Nilüfer,İkili,6,"Hayır, genel temizlik yeterli",1012 TL
Antalya,Muratpaşa,Üçlü,3,"Evet, zor lekeler var",998 TL
Ankara,Keçiören,L Köşe,1,"Hayır, genel temizlik yeterli",1489 TL
Bursa,Nilüfer,Üçlü,2,"Hayır, genel temizlik yeterli",2371 TL
İstanbul,Üsküdar,U Köşe,2,"Evet, zor lekeler var",2469 TL
İzmir,Bornova,Tekli,4,"Hayır, genel temizlik yeterli",2100 TL
İstanbul,Beşiktaş,İkili,6,"Evet, zor lekeler var",1439 TL
İstanbul,Bakırköy,İkili,6,"Hayır, genel temizlik yeterli",1221 TL
Antalya,Kepez,L Köşe,6,"Hayır, genel temizlik yeterli",583 TL
İzmir,Karşıyaka,L Köşe,4,"Hayır, genel temizlik yeterli",1081 TL
İzmir,Karşıyaka,L Köşe,1,"Hayır, genel temizlik yeterli",1337 TL
İzmir,Karşıyaka,Üçlü,4,"Evet, zor lekeler var",300 TL
İzmir,Karşıyaka,Üçlü,2,"Evet, zor lekeler var",636 TL
Antalya,Muratpaşa,L Köşe,3,"Hayır, genel temizlik yeterli",794 TL
İstanbul,Beşiktaş,Üçlü,6,"Hayır, genel temizlik yeterli",1395 TL
Bursa,Osmangazi,Üçlü,6,"Evet, zor lekeler var",1830 TL
Antalya,Kepez,L Köşe,3,"Evet, zor lekeler var",1372 TL
Bursa,Nilüfer,U Köşe,5,"Evet, zor lekeler var",1998 TL
İzmir,Bornova,İkili,6,"Hayır, genel temizlik yeterli",1849 TL
İstanbul,Kadıköy,Tekli,3,"Hayır, genel temizlik yeterli",1225 TL
Antalya,Kepez,U Köşe,3,"Evet, zor lekeler var",2226 TL
İzmir,Buca,L Köşe,3,"Evet, zor lekeler var",985 TL
İzmir,Bornova,L Köşe,2,"Evet, zor lekeler var",2418 TL
İstanbul,Bakırköy,L Köşe,3,"Hayır, genel temizlik yeterli",1280 TL
Ankara,Etimesgut,U Köşe,3,"Evet, zor lekeler var",802 TL
Bursa,Nilüfer,L Köşe,3,"Hayır, genel temizlik yeterli",1108 TL
İstanbul,Bakırköy,L Köşe,6,"Hayır, genel temizlik yeterli",1663 TL
Bursa,Yıldırım,Üçlü,4,"Evet, zor lekeler var",1101 TL
İzmir,Buca,Üçlü,4,"Hayır, genel temizlik yeterli",894 TL
İstanbul,Kadıköy,Üçlü,2,"Evet, zor lekeler var",1742 TL
Bursa,Nilüfer,Üçlü,5,"Evet, zor lekeler var",2460 TL
Ankara,Çankaya,Tekli,1,"Evet, zor lekeler var",888 TL
Antalya,Muratpaşa,L Köşe,1,"Evet, zor lekeler var",1806 TL
Antalya,Alanya,Tekli,4,"Evet, zor lekeler var",617 TL
İstanbul,Bakırköy,İkili,5,"Hayır, genel temizlik yeterli",965 TL
Antalya,Alanya,İkili,1,"Evet, zor lekeler var",1367 TL
İzmir,Bornova,İkili,4,"Hayır, genel temizlik yeterli",1497 TL
Antalya,Muratpaşa,L Köşe,4,"Evet, zor lekeler var",1930 TL
Antalya,Kepez,İkili,2,"Evet, zor lekeler var",1893 TL
Antalya,Muratpaşa,Tekli,4,"Evet, zor lekeler var",2362 TL
Antalya,Muratpaşa,U Köşe,5,"Evet, zor lekeler var",1800 TL
İstanbul,Üsküdar,İkili,3,"Hayır, genel temizlik yeterli",1317 TL
Antalya,Muratpaşa,U Köşe,3,"Evet, zor lekeler var",480 TL
Bursa,Osmangazi,Tekli,3,"Evet, zor lekeler var",806 TL
Antalya,Alanya,İkili,6,"Evet, zor lekeler var",394 TL
Antalya,Muratpaşa,Üçlü,4,"Hayır, genel temizlik yeterli",1457 TL
Antalya,Muratpaşa,İkili,3,"Evet, zor lekeler var",804 TL
İzmir,Konak,Tekli,5,"Hayır, genel temizlik yeterli",355 TL
Ankara,Keçiören,L Köşe,4,"Evet, zor lekeler var",2443 TL
Bursa,Osmangazi,Üçlü,2,"Hayır, genel temizlik yeterli",638 TL
Ankara,Keçiören,Üçlü,1,"Hayır, genel temizlik yeterli",586 TL
Bursa,Osmangazi,Üçlü,3,"Hayır, genel temizlik yeterli",1948 TL
İzmir,Konak,L Köşe,1,"Evet, zor lekeler var",2173 TL
Antalya,Muratpaşa,Tekli,3,"Hayır, genel temizlik yeterli",392 TL
Antalya,Kepez,Tekli,4,"Hayır, genel temizlik yeterli",998 TL
İzmir,Karşıyaka,Tekli,3,"Evet, zor lekeler var",1873 TL
İzmir,Bornova,İkili,3,"Evet, zor lekeler var",2184 TL
Antalya,Alanya,Üçlü,2,"Hayır, genel temizlik yeterli",1818 TL
Ankara,Mamak,Üçlü,2,"Hayır, genel temizlik yeterli",1587 TL
İzmir,Bornova,İkili,4,"Hayır, genel temizlik yeterli",682 TL
İstanbul,Bakırköy,Tekli,6,"Hayır, genel temizlik yeterli",2172 TL
Bursa,Nilüfer,İkili,4,"Hayır, genel temizlik yeterli",1486 TL
Bursa,Osmangazi,Tekli,5,"Hayır, genel temizlik yeterli",707 TL
İstanbul,Üsküdar,L Köşe,6,"Evet, zor lekeler var",1412 TL
Ankara,Keçiören,L Köşe,5,"Evet, zor lekeler var",2295 TL
İstanbul,Beşiktaş,İkili,4,"Evet, zor lekeler var",1915 TL
İstanbul,Üsküdar,U Köşe,1,"Evet, zor lekeler var",1197 TL
Antalya,Muratpaşa,U Köşe,2,"Hayır, genel temizlik yeterli",837 TL
İstanbul,Kadıköy,U Köşe,4,"Evet, zor lekeler var",1428 TL
Antalya,Alanya,Tekli,1,"Evet, zor lekeler var",2168 TL
Antalya,Kepez,Üçlü,2,"Hayır, genel temizlik yeterli",429 TL
Bursa,Nilüfer,U Köşe,6,"Evet, zor lekeler var",575 TL
İstanbul,Kadıköy,U Köşe,1,"Hayır, genel temizlik yeterli",1005 TL
İstanbul,Üsküdar,U Köşe,4,"Evet, zor lekeler var",2394 TL
İzmir,Konak,İkili,2,"Hayır, genel temizlik yeterli",2398 TL
Ankara,Etimesgut,Üçlü,3,"Hayır, genel temizlik yeterli",489 TL
İstanbul,Bakırköy,Üçlü,5,"Evet, zor lekeler var",2385 TL
Ankara,Çankaya,U Köşe,6,"Evet, zor lekeler var",1434 TL
İzmir,Buca,Tekli,4,"Hayır, genel temizlik yeterli",315 TL
Antalya,Alanya,Tekli,4,"Evet, zor lekeler var",1131 TL
İzmir,Karşıyaka,Tekli,6,"Hayır, genel temizlik yeterli",1032 TL
Bursa,Yıldırım,İkili,6,"Evet, zor lekeler var",1945 TL
Ankara,Keçiören,Tekli,4,"Hayır, genel temizlik yeterli",1595 TL
Ankara,Etimesgut,Tekli,2,"Hayır, genel temizlik yeterli",1264 TL
Bursa,Nilüfer,Tekli,4,"Hayır, genel temizlik yeterli",463 TL
Antalya,Muratpaşa,L Köşe,6,"Evet, zor lekeler var",1460 TL
İzmir,Bornova,Üçlü,1,"Hayır, genel temizlik yeterli",1407 TL
Antalya,Kepez,Üçlü,2,"Evet, zor lekeler var",1550 TL
İstanbul,Kadıköy,Tekli,1,"Evet, zor lekeler var",906 TL
İstanbul,Üsküdar,Tekli,2,"Hayır, genel temizlik yeterli",1723 TL
Bursa,Nilüfer,Tekli,2,"Hayır, genel temizlik yeterli",1317 TL
İstanbul,Beşiktaş,Tekli,5,"Hayır, genel temizlik yeterli",1755 TL
Bursa,Nilüfer,İkili,2,"Evet, zor lekeler var",2354 TL
İstanbul,Bakırköy,Üçlü,6,"Hayır, genel temizlik yeterli",1876 TL
İstanbul,Bakırköy,Tekli,4,"Evet, zor lekeler var",2328 TL
İstanbul,Beşiktaş,Tekli,2,"Evet, zor lekeler var",1533 TL
Bursa,Osmangazi,U Köşe,6,"Hayır, genel temizlik yeterli",510 TL
Bursa,Osmangazi,İkili,5,"Hayır, genel temizlik yeterli",549 TL
Bursa,Nilüfer,Tekli,5,"Hayır, genel temizlik yeterli",1469 TL
Bursa,Nilüfer,İkili,1,"Evet, zor lekeler var",2195 TL
İstanbul,Üsküdar,Tekli,4,"Hayır, genel temizlik yeterli",715 TL
Ankara,Etimesgut,L Köşe,6,"Hayır, genel temizlik yeterli",2267 TL
Ankara,Çankaya,U Köşe,3,"Hayır, genel temizlik yeterli",2257 TL
İzmir,Bornova,Tekli,4,"Evet, zor lekeler var",1673 TL
İstanbul,Bakırköy,İkili,6,"Evet, zor lekeler var",2329 TL
İstanbul,Üsküdar,Üçlü,6,"Evet, zor lekeler var",1912 TL
Antalya,Muratpaşa,İkili,3,"Hayır, genel temizlik yeterli",2469 TL
Bursa,Yıldırım,İkili,5,"Hayır, genel temizlik yeterli",1326 TL
Antalya,Kepez,L Köşe,5,"Evet, zor lekeler var",906 TL
Bursa,Yıldırım,Tekli,3,"Hayır, genel temizlik yeterli",733 TL
Ankara,Çankaya,Tekli,6,"Hayır, genel temizlik yeterli",2078 TL
Bursa,Yıldırım,U Köşe,2,"Hayır, genel temizlik yeterli",1134 TL
İstanbul,Kadıköy,Üçlü,4,"Hayır, genel temizlik yeterli",1122 TL
Bursa,Yıldırım,L Köşe,2,"Evet, zor lekeler var",2228 TL
Bursa,Yıldırım,Üçlü,4,"Hayır, genel temizlik yeterli",1300 TL
İstanbul,Beşiktaş,Üçlü,6,"Hayır, genel temizlik yeterli",1249 TL
İstanbul,Kadıköy,Üçlü,2,"Evet, zor lekeler var",1794 TL
İstanbul,Beşiktaş,Üçlü,6,"Evet, zor lekeler var",1943 TL
Ankara,Keçiören,İkili,3,"Hayır, genel temizlik yeterli",1832 TL
Bursa,Yıldırım,Tekli,3,"Evet, zor lekeler var",977 TL
Bursa,Nilüfer,U Köşe,3,"Hayır, genel temizlik yeterli",2216 TL
Antalya,Muratpaşa,Tekli,5,"Hayır, genel temizlik yeterli",794 TL
Ankara,Etimesgut,Tekli,6,"Hayır, genel temizlik yeterli",966 TL
Bursa,Nilüfer,İkili,5,"Evet, zor lekeler var",1521 TL
Antalya,Alanya,Tekli,6,"Evet, zor lekeler var",2334 TL
İzmir,Buca,Tekli,6,"Hayır, genel temizlik yeterli",1226 TL
Bursa,Yıldırım,Üçlü,1,"Hayır, genel temizlik yeterli",1238 TL
İstanbul,Bakırköy,U Köşe,1,"Evet, zor lekeler var",2030 TL
Antalya,Kepez,Tekli,3,"Hayır, genel temizlik yeterli",861 TL
Bursa,Yıldırım,Üçlü,2,"Hayır, genel temizlik yeterli",2378 TL
İstanbul,Beşiktaş,Tekli,4,"Hayır, genel temizlik yeterli",502 TL
Antalya,Kepez,İkili,6,"Evet, zor lekeler var",749 TL
İstanbul,Kadıköy,U Köşe,2,"Evet, zor lekeler var",344 TL
Bursa,Yıldırım,İkili,1,"Evet, zor lekeler var",1525 TL
İzmir,Bornova,U Köşe,1,"Evet, zor lekeler var",1683 TL
Ankara,Mamak,U Köşe,6,"Hayır, genel temizlik yeterli",2125 TL
Bursa,Nilüfer,Tekli,5,"Hayır, genel temizlik yeterli",2086 TL
İzmir,Karşıyaka,L Köşe,1,"Evet, zor lekeler var",910 TL
Antalya,Kepez,İkili,2,"Hayır, genel temizlik yeterli",1326 TL
Ankara,Çankaya,Tekli,3,"Evet, zor lekeler var",1214 TL
Ankara,Etimesgut,L Köşe,5,"Evet, zor lekeler var",1018 TL
İzmir,Karşıyaka,Üçlü,6,"Evet, zor lekeler var",2110 TL
Bursa,Nilüfer,İkili,5,"Hayır, genel temizlik yeterli",2134 TL
Antalya,Kepez,Tekli,6,"Hayır, genel temizlik yeterli",1819 TL
Antalya,Muratpaşa,İkili,3,"Evet, zor lekeler var",888 TL
Bursa,Osmangazi,İkili,1,"Evet, zor lekeler var",506 TL
Antalya,Muratpaşa,U Köşe,2,"Hayır, genel temizlik yeterli",1886 TL
Bursa,Yıldırım,İkili,6,"Hayır, genel temizlik yeterli",737 TL
Bursa,Osmangazi,U Köşe,5,"Evet, zor lekeler var",383 TL
Antalya,Kepez,Tekli,2,"Hayır, genel temizlik yeterli",453 TL
Ankara,Keçiören,U Köşe,4,"Evet, zor lekeler var",1770 TL
İstanbul,Kadıköy,İkili,4,"Evet, zor lekeler var",992 TL
Ankara,Etimesgut,U Köşe,1,"Evet, zor lekeler var",1764 TL
İstanbul,Beşiktaş,U Köşe,3,"Hayır, genel temizlik yeterli",1916 TL
İstanbul,Beşiktaş,Üçlü,5,"Evet, zor lekeler var",2303 TL
İzmir,Konak,Üçlü,1,"Hayır, genel temizlik yeterli",545 TL
Bursa,Osmangazi,İkili,6,"Hayır, genel temizlik yeterli",2248 TL
Antalya,Alanya,İkili,2,"Hayır, genel temizlik yeterli",888 TL
Ankara,Keçiören,Tekli,4,"Evet, zor lekeler var",2427 TL
Bursa,Osmangazi,Tekli,1,"Hayır, genel temizlik yeterli",1063 TL
Ankara,Etimesgut,U Köşe,3,"Hayır, genel temizlik yeterli",859 TL
Ankara,Çankaya,L Köşe,1,"Hayır, genel temizlik yeterli",2439 TL
İstanbul,Beşiktaş,Üçlü,4,"Evet, zor lekeler var",2236 TL
İstanbul,Kadıköy,İkili,5,"Evet, zor lekeler var",1298 TL
Bursa,Yıldırım,U Köşe,5,"Hayır, genel temizlik yeterli",1421 TL
İzmir,Bornova,Üçlü,5,"Hayır, genel temizlik yeterli",616 TL
İzmir,Karşıyaka,İkili,6,"Hayır, genel temizlik yeterli",1159 TL
Antalya,Kepez,Tekli,4,"Hayır, genel temizlik yeterli",775 TL
Ankara,Etimesgut,Üçlü,4,"Hayır, genel temizlik yeterli",2146 TL
İzmir,Karşıyaka,İkili,6,"Evet, zor lekeler var",767 TL
Antalya,Kepez,Üçlü,5,"Hayır, genel temizlik yeterli",1195 TL
İzmir,Bornova,L Köşe,2,"Hayır, genel temizlik yeterli",2317 TL
Ankara,Etimesgut,L Köşe,4,"Hayır, genel temizlik yeterli",368 TL
İzmir,Konak,Üçlü,4,"Hayır, genel temizlik yeterli",1290 TL
Ankara,Çankaya,İkili,2,"Evet, zor lekeler var",1255 TL
İstanbul,Kadıköy,L Köşe,5,"Hayır, genel temizlik yeterli",569 TL
Antalya,Muratpaşa,L Köşe,6,"Evet, zor lekeler var",562 TL
İstanbul,Beşiktaş,Üçlü,4,"Hayır, genel temizlik yeterli",1380 TL
Bursa,Nilüfer,İkili,2,"Hayır, genel temizlik yeterli",2447 TL
Ankara,Etimesgut,L Köşe,1,"Hayır, genel temizlik yeterli",1296 TL
İstanbul,Bakırköy,İkili,6,"Hayır, genel temizlik yeterli",1601 TL
İstanbul,Beşiktaş,İkili,6,"Hayır, genel temizlik yeterli",827 TL
Bursa,Yıldırım,Tekli,6,"Hayır, genel temizlik yeterli",1083 TL
Ankara,Mamak,Üçlü,2,"Evet, zor lekeler var",987 TL
Bursa,Yıldırım,U Köşe,2,"Evet, zor lekeler var",1512 TL
Bursa,Yıldırım,Üçlü,3,"Hayır, genel temizlik yeterli",1287 TL
İzmir,Buca,Üçlü,6,"Evet, zor lekeler var",633 TL
Ankara,Çankaya,L Köşe,5,"Hayır, genel temizlik yeterli",772 TL
Ankara,Etimesgut,İkili,4,"Hayır, genel temizlik yeterli",308 TL
Bursa,Nilüfer,Üçlü,6,"Hayır, genel temizlik yeterli",1002 TL
İstanbul,Bakırköy,İkili,4,"Evet, zor lekeler var",331 TL
Bursa,Nilüfer,U Köşe,1,"Evet, zor lekeler var",2097 TL
İstanbul,Kadıköy,Tekli,5,"Evet, zor lekeler var",1590 TL
İzmir,Konak,U Köşe,1,"Hayır, genel temizlik yeterli",965 TL
Antalya,Muratpaşa,L Köşe,3,"Evet, zor lekeler var",1601 TL
Antalya,Muratpaşa,Üçlü,3,"Evet, zor lekeler var",627 TL
İzmir,Bornova,L Köşe,5,"Hayır, genel temizlik yeterli",547 TL
Ankara,Etimesgut,U Köşe,1,"Evet, zor lekeler var",837 TL
İzmir,Konak,Üçlü,3,"Evet, zor lekeler var",389 TL
Ankara,Çankaya,Tekli,3,"Hayır, genel temizlik yeterli",2304 TL
İzmir,Bornova,İkili,4,"Hayır, genel temizlik yeterli",824 TL
Antalya,Kepez,Üçlü,5,"Hayır, genel temizlik yeterli",570 TL
Bursa,Osmangazi,Tekli,5,"Hayır, genel temizlik yeterli",651 TL
İstanbul,Beşiktaş,Üçlü,5,"Evet, zor lekeler var",1834 TL
İzmir,Bornova,Tekli,6,"Hayır, genel temizlik yeterli",1511 TL
Bursa,Nilüfer,Üçlü,6,"Evet, zor lekeler var",1940 TL
İzmir,Buca,İkili,3,"Evet, zor lekeler var",840 TL
İzmir,Konak,Tekli,3,"Hayır, genel temizlik yeterli",371 TL
Ankara,Mamak,U Köşe,1,"Hayır, genel temizlik yeterli",1158 TL
Ankara,Çankaya,U Köşe,1,"Evet, zor lekeler var",2352 TL
İzmir,Karşıyaka,L Köşe,1,"Evet, zor lekeler var",1923 TL
İstanbul,Üsküdar,U Köşe,1,"Evet, zor lekeler var",441 TL
Ankara,Çankaya,İkili,1,"Hayır, genel temizlik yeterli",1859 TL
Ankara,Mamak,L Köşe,2,"Evet, zor lekeler var",1446 TL
Bursa,Yıldırım,L Köşe,4,"Evet, zor lekeler var",2412 TL
İstanbul,Kadıköy,Üçlü,3,"Hayır, genel temizlik yeterli",1830 TL
İstanbul,Üsküdar,İkili,4,"Hayır, genel temizlik yeterli",353 TL
Bursa,Nilüfer,İkili,6,"Hayır, genel temizlik yeterli",2407 TL
İzmir,Konak,Tekli,5,"Evet, zor lekeler var",1013 TL
Antalya,Alanya,İkili,6,"Hayır, genel temizlik yeterli",1468 TL
İzmir,Bornova,U Köşe,6,"Evet, zor lekeler var",2419 TL
Ankara,Keçiören,U Köşe,1,"Hayır, genel temizlik yeterli",1341 TL
İstanbul,Üsküdar,İkili,4,"Evet, zor lekeler var",1332 TL
Antalya,Alanya,U Köşe,6,"Hayır, genel temizlik yeterli",1445 TL
Bursa,Nilüfer,Tekli,6,"Hayır, genel temizlik yeterli",1774 TL
Antalya,Alanya,U Köşe,2,"Evet, zor lekeler var",1622 TL
Bursa,Yıldırım,Üçlü,5,"Hayır, genel temizlik yeterli",1845 TL
İzmir,Karşıyaka,Tekli,2,"Evet, zor lekeler var",2106 TL
İzmir,Bornova,U Köşe,4,"Evet, zor lekeler var",2217 TL
İstanbul,Bakırköy,İkili,1,"Hayır, genel temizlik yeterli",440 TL
Antalya,Kepez,Üçlü,6,"Hayır, genel temizlik yeterli",1231 TL
İzmir,Buca,Tekli,5,"Evet, zor lekeler var",621 TL
Antalya,Kepez,L Köşe,5,"Evet, zor lekeler var",1586 TL
Antalya,Alanya,Tekli,5,"Hayır, genel temizlik yeterli",651 TL
Ankara,Etimesgut,Üçlü,5,"Hayır, genel temizlik yeterli",2050 TL
Antalya,Muratpaşa,U Köşe,4,"Evet, zor lekeler var",1263 TL
Antalya,Kepez,U Köşe,4,"Hayır, genel temizlik yeterli",468 TL
Antalya,Muratpaşa,L Köşe,1,"Hayır, genel temizlik yeterli",490 TL
Bursa,Yıldırım,L Köşe,4,"Evet, zor lekeler var",798 TL
Ankara,Mamak,İkili,1,"Evet, zor lekeler var",1331 TL
Antalya,Alanya,İkili,1,"Evet, zor lekeler var",2343 TL
Bursa,Nilüfer,U Köşe,1,"Evet, zor lekeler var",485 TL
İzmir,Buca,Tekli,3,"Evet, zor lekeler var",1423 TL
İstanbul,Kadıköy,Üçlü,5,"Evet, zor lekeler var",1033 TL
İzmir,Buca,Üçlü,3,"Hayır, genel temizlik yeterli",1513 TL
Antalya,Alanya,İkili,4,"Evet, zor lekeler var",1468 TL
Antalya,Kepez,L Köşe,5,"Evet, zor lekeler var",1279 TL
İzmir,Konak,L Köşe,3,"Evet, zor lekeler var",2497 TL
İstanbul,Üsküdar,İkili,4,"Hayır, genel temizlik yeterli",577 TL
Ankara,Keçiören,L Köşe,6,"Evet, zor lekeler var",964 TL
Ankara,Keçiören,Tekli,3,"Evet, zor lekeler var",1358 TL
İzmir,Karşıyaka,Üçlü,6,"Hayır, genel temizlik yeterli",2141 TL
Ankara,Mamak,Üçlü,2,"Evet, zor lekeler var",438 TL
İzmir,Buca,Tekli,4,"Hayır, genel temizlik yeterli",2417 TL
Antalya,Muratpaşa,L Köşe,3,"Hayır, genel temizlik yeterli",794 TL
Antalya,Muratpaşa,Tekli,4,"Hayır, genel temizlik yeterli",702 TL
İstanbul,Kadıköy,U Köşe,4,"Evet, zor lekeler var",2416 TL
İzmir,Karşıyaka,U Köşe,5,"Evet, zor lekeler var",1880 TL
Antalya,Kepez,Üçlü,5,"Evet, zor lekeler var",923 TL
Ankara,Mamak,U Köşe,2,"Evet, zor lekeler var",667 TL
Ankara,Çankaya,İkili,3,"Evet, zor lekeler var",1151 TL
Antalya,Kepez,L Köşe,5,"Evet, zor lekeler var",435 TL
Bursa,Yıldırım,Üçlü,1,"Evet, zor lekeler var",1779 TL
Antalya,Muratpaşa,İkili,1,"Evet, zor lekeler var",843 TL
Bursa,Nilüfer,Tekli,2,"Evet, zor lekeler var",475 TL
Antalya,Alanya,U Köşe,3,"Evet, zor lekeler var",1743 TL
İstanbul,Beşiktaş,Üçlü,5,"Evet, zor lekeler var",1692 TL
Ankara,Etimesgut,Üçlü,4,"Hayır, genel temizlik yeterli",1931 TL
İzmir,Buca,L Köşe,3,"Evet, zor lekeler var",590 TL
Ankara,Keçiören,L Köşe,5,"Hayır, genel temizlik yeterli",1839 TL
İzmir,Karşıyaka,Üçlü,6,"Evet, zor lekeler var",1690 TL
İzmir,Buca,İkili,2,"Evet, zor lekeler var",1856 TL
İzmir,Karşıyaka,U Köşe,2,"Hayır, genel temizlik yeterli",2216 TL
Ankara,Keçiören,Üçlü,6,"Evet, zor lekeler var",1604 TL
Bursa,Nilüfer,İkili,3,"Evet, zor lekeler var",1589 TL
Antalya,Alanya,İkili,1,"Hayır, genel temizlik yeterli",531 TL
Antalya,Kepez,İkili,6,"Hayır, genel temizlik yeterli",1403 TL
İstanbul,Kadıköy,İkili,1,"Evet, zor lekeler var",845 TL
Bursa,Osmangazi,İkili,2,"Hayır, genel temizlik yeterli",2400 TL
Antalya,Alanya,Tekli,5,"Evet, zor lekeler var",1544 TL
Antalya,Kepez,L Köşe,4,"Hayır, genel temizlik yeterli",832 TL
İstanbul,Kadıköy,Tekli,3,"Evet, zor lekeler var",1863 TL
İzmir,Bornova,Tekli,6,"Hayır, genel temizlik yeterli",317 TL
Ankara,Mamak,U Köşe,3,"Evet, zor lekeler var",1270 TL
Antalya,Alanya,U Köşe,2,"Hayır, genel temizlik yeterli",1193 TL
Antalya,Kepez,L Köşe,4,"Evet, zor lekeler var",1637 TL
İzmir,Karşıyaka,U Köşe,4,"Evet, zor lekeler var",640 TL
Antalya,Muratpaşa,U Köşe,4,"Hayır, genel temizlik yeterli",875 TL
İstanbul,Beşiktaş,Tekli,2,"Hayır, genel temizlik yeterli",2303 TL
Ankara,Mamak,U Köşe,3,"Evet, zor lekeler var",1877 TL
Antalya,Kepez,U Köşe,5,"Hayır, genel temizlik yeterli",528 TL
İzmir,Konak,Tekli,4,"Evet, zor lekeler var",1735 TL
Antalya,Kepez,L Köşe,6,"Evet, zor lekeler var",1037 TL
İstanbul,Beşiktaş,U Köşe,1,"Evet, zor lekeler var",1571 TL
Bursa,Nilüfer,U Köşe,3,"Evet, zor lekeler var",319 TL
İstanbul,Üsküdar,Tekli,6,"Hayır, genel temizlik yeterli",960 TL
Bursa,Osmangazi,L Köşe,2,"Hayır, genel temizlik yeterli",1461 TL
Antalya,Kepez,U Köşe,2,"Hayır, genel temizlik yeterli",673 TL
İzmir,Karşıyaka,Üçlü,1,"Hayır, genel temizlik yeterli",946 TL
İzmir,Konak,Tekli,5,"Evet, zor lekeler var",2393 TL
Bursa,Osmangazi,U Köşe,4,"Hayır, genel temizlik yeterli",2237 TL
Ankara,Keçiören,İkili,2,"Evet, zor lekeler var",1365 TL
Bursa,Yıldırım,L Köşe,5,"Evet, zor lekeler var",1182 TL
Ankara,Etimesgut,Tekli,4,"Hayır, genel temizlik yeterli",654 TL
Bursa,Nilüfer,Tekli,2,"Evet, zor lekeler var",2247 TL
Bursa,Osmangazi,İkili,1,"Hayır, genel temizlik yeterli",1546 TL
İstanbul,Kadıköy,Tekli,5,"Evet, zor lekeler var",2258 TL
İstanbul,Üsküdar,U Köşe,1,"Evet, zor lekeler var",575 TL
Ankara,Mamak,Üçlü,4,"Evet, zor lekeler var",1244 TL
Bursa,Nilüfer,Tekli,6,"Hayır, genel temizlik yeterli",1078 TL
İstanbul,Üsküdar,L Köşe,5,"Hayır, genel temizlik yeterli",1073 TL
Antalya,Alanya,U Köşe,2,"Evet, zor lekeler var",2322 TL
Ankara,Keçiören,U Köşe,6,"Hayır, genel temizlik yeterli",1895 TL
